India 	West Indies 	West Indies 	104 runs 	Jamshedpur 	Dec 7, 1983 	ODI # 229
India 	West Indies 	West Indies 	6 wickets 	Guwahati 	Dec 17, 1983 	ODI # 230
India 	Sri Lanka 	India 	10 wickets 	Sharjah 	Apr 8, 1984 	ODI # 260
India 	Pakistan 	India 	54 runs 	Sharjah 	Apr 13, 1984 	ODI # 261
India 	Australia 	Australia 	48 runs 	New Delhi 	Sep 28, 1984 	ODI # 267
India 	Australia 	Australia 	7 wickets 	Ahmedabad 	Oct 5, 1984 	ODI # 270
India 	Australia 	Australia 	6 wickets 	Indore 	Oct 6, 1984 	ODI # 271
Pakistan 	India 	Pakistan 	46 runs 	Quetta 	Oct 12, 1984 	ODI # 272
India 	England 	England 	4 wickets 	Pune 	Dec 5, 1984 	ODI # 279
India 	England 	England 	1 run 	Cuttack 	Dec 27, 1984 	ODI # 281
India 	England 	England 	3 wickets 	Bangalore 	Jan 20, 1985 	ODI # 293
India 	England 	India 	3 wickets 	Nagpur 	Jan 23, 1985 	ODI # 295
India 	England 	England 	7 runs 	Chandigarh 	Jan 27, 1985 	ODI # 298
India 	Pakistan 	India 	6 wickets 	Melbourne 	Feb 20, 1985 	ODI # 309
England 	India 	India 	86 runs 	Sydney 	Feb 26, 1985 	ODI # 312
Australia 	India 	India 	8 wickets 	Melbourne 	Mar 3, 1985 	ODI # 315
India 	New Zealand 	India 	7 wickets 	Sydney 	Mar 5, 1985 	ODI # 316
